index,time,sender,receiver,amount
108,2022-01-23 21:13:25,bank,ddjerqq,50
109,2022-01-23 21:17:16,ddjerqq,bank,15
110,2022-01-23 21:19:53,bank,ddjerqq,1750
111,2022-01-23 21:23:14,bank,ddjerqq,300
112,2022-01-23 22:01:15,ddjerqq,Luna✨,50
113,2022-01-23 22:10:01,ddjerqq,Luna✨,50
114,2022-01-23 22:27:11,ddjerqq,char,50
115,2022-01-23 22:27:43,ddjerqq,char,50
116,2022-01-23 22:41:49,bank,ddjerqq,60
117,2022-01-24 02:39:15,ddjerqq,Psychopath,200
118,2022-01-24 02:39:29,ddjerqq,bank,200
119,2022-01-24 02:39:37,ddjerqq,bank,200
120,2022-01-24 02:44:55,ddjerqq,bank,20
121,2022-01-24 02:45:24,ddjerqq,bank,30
122,2022-01-24 02:45:33,bank,ddjerqq,90
123,2022-01-24 03:12:47,bank,ddjerqq,32
124,2022-01-24 03:14:32,bank,ddjerqq,30
125,2022-01-24 03:20:03,bank,Luna✨,34
126,2022-01-24 03:23:46,bank,ddjerqq,22
127,2022-01-24 03:25:01,ddjerqq,bank,40
128,2022-01-24 03:48:57,ddjerqq,bank,200
129,2022-01-24 03:49:06,ddjerqq,bank,150
130,2022-01-24 03:49:14,ddjerqq,bank,150
131,2022-01-24 03:49:45,bank,ddjerqq,450
132,2022-01-24 03:49:59,ddjerqq,rithmic,450
133,2022-01-24 03:55:45,ddjerqq,char,350
134,2022-01-24 03:58:45,ddjerqq,Luna✨,50
135,2022-01-24 04:01:08,ddjerqq,bank,94
136,2022-01-24 04:01:15,bank,ddjerqq,27
137,2022-01-24 04:01:23,bank,ddjerqq,50
138,2022-01-24 04:02:52,bank,ddjerqq,50
139,2022-01-24 19:44:06,ddjerqq,bank,50
140,2022-01-24 19:44:13,ddjerqq,bank,150
141,2022-01-24 19:44:19,ddjerqq,bank,100
142,2022-01-24 19:44:25,ddjerqq,bank,100
143,2022-01-24 19:44:56,ddjerqq,Kiryu Kazuma 桐生 一馬,50
144,2022-01-24 19:45:05,ddjerqq,Kiryu Kazuma 桐生 一馬,150
145,2022-01-24 19:46:21,Kiryu Kazuma 桐生 一馬,ddjerqq,1800
146,2022-01-24 19:46:56,bank,ddjerqq,34
147,2022-01-24 19:47:04,ddjerqq,bank,100
148,2022-01-24 19:58:36,ddjerqq,Forwaste,100
149,2022-01-24 19:59:06,ddjerqq,Forwaste,100
150,2022-01-24 19:59:35,Forwaste,ddjerqq,500
151,2022-01-24 20:23:58,ddjerqq,char,150
152,2022-01-24 20:25:14,ddjerqq,char,150
153,2022-01-24 20:26:08,char,ddjerqq,150
154,2022-01-24 20:26:52,char,ddjerqq,150
155,2022-01-24 20:29:33,ddjerqq,char,150
156,2022-01-24 20:29:53,char,ddjerqq,150
157,2022-01-25 16:03:09,ddjerqq,AlkhilJohn,150
158,2022-01-25 16:05:31,ddjerqq,bank,150
